,bounded_time,household_goods,industrial_goods,dependencies,population,free_time,mse
0,0.005593061447143555,50,500,500,200,0.005585670471191406,4.071001031295066e-32
1,0.005029916763305664,50,500,1000,200,0.005023002624511719,5.195366200518075e-32
2,0.004523515701293945,50,500,2000,200,0.0045168399810791016,4.231884385400961e-32
3,0.00672149658203125,100,500,500,200,0.0067138671875,4.5672465666171107e-32
4,0.006013631820678711,100,500,1000,200,0.006006479263305664,9.023798805047796e-32
5,0.005704641342163086,100,500,2000,200,0.005697965621948242,9.89657496058983e-32
6,0.01875472068786621,500,500,500,200,0.018734455108642578,2.8383173129794733e-31
7,0.022814512252807617,500,500,1000,200,0.022799253463745117,2.4701623313772673e-31
8,0.021054744720458984,500,500,2000,200,0.021039962768554688,2.5330921988882745e-31
9,0.034325599670410156,1000,500,500,200,0.034308671951293945,3.1995067586119087e-31
10,0.036821603775024414,1000,500,1000,200,0.036805152893066406,4.156415121180196e-31
11,0.041472434997558594,1000,500,2000,200,0.04145622253417969,4.113427226061389e-31
12,0.12672066688537598,5000,500,500,200,0.12670397758483887,5.312499725488728e-31
13,0.20914936065673828,5000,500,1000,200,0.20913219451904297,8.593772066332166e-31
14,0.35274171829223633,5000,500,2000,200,0.3527240753173828,3.362648985256259e-30
15,0.012394189834594727,50,1000,500,200,0.01238250732421875,1.694864949537625e-32
16,0.017252206802368164,50,1000,1000,200,0.017237424850463867,2.2234247317780863e-32
17,0.018976211547851562,50,1000,2000,200,0.018961191177368164,2.2888367756680114e-32
18,0.01326751708984375,100,1000,500,200,0.013256072998046875,4.27486354915125e-32
19,0.021178007125854492,100,1000,1000,200,0.021161794662475586,3.784639045392886e-32
20,0.019381284713745117,100,1000,2000,200,0.01936626434326172,4.6718356737316316e-32
21,0.02338862419128418,500,1000,500,200,0.023372411727905273,1.6293224400466433e-31
22,0.04027128219604492,500,1000,1000,200,0.04025554656982422,1.528362916604801e-31
23,0.04489731788635254,500,1000,2000,200,0.044881582260131836,1.9263967171519069e-31
24,0.040639400482177734,1000,1000,500,200,0.04062151908874512,2.3382343484712527e-31
25,0.06477093696594238,1000,1000,1000,200,0.06475639343261719,2.718513211592656e-31
26,0.07924628257751465,1000,1000,2000,200,0.07923126220703125,3.6648407423108295e-31
27,0.20555663108825684,5000,1000,500,200,0.20553898811340332,4.65347415774125e-31
28,0.22854280471801758,5000,1000,1000,200,0.22852540016174316,6.480727158290904e-31
29,0.3891758918762207,5000,1000,2000,200,0.3891572952270508,2.1339520891597798e-30
30,0.0741121768951416,50,5000,500,200,0.0740969181060791,4.6397486579283165e-33
31,0.14392375946044922,50,5000,1000,200,0.14390802383422852,5.318389050986796e-33
32,0.25632452964782715,50,5000,2000,200,0.25630712509155273,4.480508786432001e-33
33,0.07509446144104004,100,5000,500,200,0.07507872581481934,7.31869276873766e-33
34,0.1472771167755127,100,5000,1000,200,0.1472611427307129,1.0448547525957895e-32
35,0.2623162269592285,100,5000,2000,200,0.2622990608215332,7.64153586024078e-33
36,0.09286284446716309,500,5000,500,200,0.09284067153930664,4.09084905295598e-32
37,0.16300153732299805,500,5000,1000,200,0.16298508644104004,4.6387642038587933e-32
38,0.3176436424255371,500,5000,2000,200,0.3176264762878418,4.7325889194019286e-32
39,0.10724639892578125,1000,5000,500,200,0.10722899436950684,7.713324652400265e-32
40,0.18385696411132812,1000,5000,1000,200,0.18384075164794922,9.728127260951011e-32
41,0.3570554256439209,1000,5000,2000,200,0.3570375442504883,8.474069909482677e-32
42,0.31644558906555176,5000,5000,500,200,0.31642746925354004,2.4085032476141983e-31
43,0.39109086990356445,5000,5000,1000,200,0.3910713195800781,2.763496287775922e-31
44,0.7030384540557861,5000,5000,2000,200,0.7030177116394043,3.7238236065685616e-31
45,0.16883087158203125,50,10000,500,200,0.16881299018859863,2.5008250237638158e-33
46,0.33049511909484863,50,10000,1000,200,0.3304765224456787,1.7417652421502606e-33
47,0.7849030494689941,50,10000,2000,200,0.7848834991455078,2.058706373187357e-33
48,0.17083477973937988,100,10000,500,200,0.17081665992736816,3.849133928787481e-33
49,0.5041284561157227,100,10000,1000,200,0.5041098594665527,3.7444986435493705e-33
50,0.627267599105835,100,10000,2000,200,0.627246618270874,4.811246756594772e-33
51,0.18002700805664062,500,10000,500,200,0.1800086498260498,2.1130637303731648e-32
52,0.34952569007873535,500,10000,1000,200,0.34950709342956543,2.0367362763120304e-32
53,0.6571972370147705,500,10000,2000,200,0.6571769714355469,2.2585534278405774e-32
54,0.2107679843902588,1000,10000,500,200,0.21074867248535156,4.0019403878799437e-32
55,0.37200427055358887,1000,10000,1000,200,0.37198519706726074,4.5969853797265094e-32
56,0.7548110485076904,1000,10000,2000,200,0.7547895908355713,4.5068316918839596e-32
57,0.3455345630645752,5000,10000,500,200,0.34551382064819336,1.8822329776041604e-31
58,0.6337482929229736,5000,10000,1000,200,0.6337263584136963,1.6532513767005035e-31
59,1.1376097202301025,5000,10000,2000,200,1.137587547302246,1.9121569335007568e-31
60,1.2726614475250244,50,50000,500,200,1.27262282371521,3.924817660312037e-34
61,2.5596790313720703,50,50000,1000,200,2.559631109237671,3.5836118627019394e-34
62,4.572838068008423,50,50000,2000,200,4.572789430618286,3.255511491367642e-34
63,1.279200792312622,100,50000,500,200,1.2791600227355957,1.0350373006157026e-33
64,2.8617358207702637,100,50000,1000,200,2.8616867065429688,9.094744471631575e-34
65,4.5703284740448,100,50000,2000,200,4.5702784061431885,7.966343107341231e-34
66,1.2793526649475098,500,50000,500,200,1.279310703277588,4.5304606675938354e-33
67,2.5574228763580322,500,50000,1000,200,2.557373046875,4.4698896683248186e-33
68,4.635462999343872,500,50000,2000,200,4.635411500930786,4.6776617067803634e-33
69,1.2973718643188477,1000,50000,500,200,1.297332763671875,8.848002871877172e-33
70,2.5884037017822266,1000,50000,1000,200,2.588358163833618,8.971319106609149e-33
71,4.688952207565308,1000,50000,2000,200,4.688900709152222,9.347834002633037e-33
72,1.4767093658447266,5000,50000,500,200,1.476667881011963,4.3148547331553477e-32
73,3.1867144107818604,5000,50000,1000,200,3.1866648197174072,4.2748170096655996e-32
74,5.689677476882935,5000,50000,2000,200,5.689625263214111,4.3989939009782526e-32
